"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
3968,"NCT04594395","Defining the COVID-19 Immunity Denominator in the Mekong: a Cross-Sectional Seroprevalence Study of SARS-CoV-2 in HealthyVolunteers","Not yet recruiting","No Results Available","Healthy Volunteers",,"National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","Observational","Cambodian Center for Communicable Disease (CCDC), Ministry of Health (MOH), Phnom Penh, Cambodia|National Malaria Center (CNM), Ministry of Health (MOH), Phnom Penh, Cambodia",,"https://ClinicalTrials.gov/show/NCT04594395"
3969,"NCT04288713","Eculizumab (Soliris) in Covid-19 Infected Patients","Available","No Results Available","Coronavirus","Drug: Eculizumab","Hudson Medical","Expanded Access:Individual Patients|Treatment IND/Protocol",,,"https://ClinicalTrials.gov/show/NCT04288713"
3970,"NCT04366921","European/Euro-ELSO Survey on Adult and Neonatal/ Pediatric COVID-19 Patients in ECMO","Recruiting","No Results Available","COVID|SARS-CoV-2|ARDS, Human|Refractory Hypoxemia|Cardiogenic Shock|Septic Shock|Extracorporeal Membrane Oxygenation",,"Maastricht University Medical Center|European chapter of the Extracorporeal Life Support Organization|Erasmus Medical Center|Leiden University Medical Center|UMC Utrecht|St. Orsola Hospital|Papa Giovanni XXIII Hospital|Niguarda Hospital|Ospedale San Donato|Ospedale S. Giovanni Bosco|IRCCS Policlinico S. Matteo|The Mediterranean Institute for Transplantation and Advanced Specialized Therapies|Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia|Ospedale dell'Angelo, Venezia-Mestre|University Hospital, Udine, Italy|San Gerardo Hospital|Ospedali Riuniti Ancona|San Camillo Hospital, Rome|San Giorgio Clinic|GVM Care & Research|San Raffaele University Hospital, Italy|Ospedale San Bortolo di Vicenza|Klinik Hirslanden, Zurich|University of Zurich|Cardiocentro Ticino|Vilnius University Hospital Santaros Klinikos|Universitätsklinikum Düsseldorf|Klinikum Nürnberg|Hannover Medical School|Heart Center Leipzig - University Hospital|University Hospital Regensburg|University Hospital, Essen|German Heart Center|University Hospital, Aachen|University Heart Center Freiburg - Bad Krozingen|Klinikum Kassel|General University Hospital, Prague|Universitaire Ziekenhuizen Leuven|Onze Lieve Vrouwziekenhuis Aalst|Erasme University Hospital|University Hospital, Antwerp|Hôpital Civil Marie Curie de Charleroi|University Hospital, Ghent|Centre Hospitalier Universitaire Saint Pierre|Hospital Vall d'Hebron|Hospital Universitario Ramon y Cajal|Hospital Miguel Servet|Henri Mondor University Hospital|Hospices Civils de Lyon|Pitié-Salpêtrière Hospital|Rennes University Hospital|Guy's and St Thomas' NHS Foundation Trust|Karolinska University Hospital|Hospital Sao Joao|Medical University of Warsaw|Universitätskliniken Innsbruck|Medical University of Vienna|University Hospital, Alexandroupolis|Novosibirsk City Hospital #2|City Clinical Hospital No. 67, Moscow, Russia|City Hospital No 40, Saint Petersburg, Russia|Krasnodar Regional Hospital no 1|Kemerovo Regional Clinical Cardiological Center named after academician L.S. Barbarash|City Hospital No 41, Ekaterinburg, Russia|G. Pasquinucci Heart Hospital, Massa|Charles University, Czech Republic|University Hospital, Bordeaux|Bambino Gesù Hospital and Research Institute|Policlinico Hospital Milan|Gaslini Children's Hospital|Children's Medical Hospital, University of Essen, Essen, Germany|University Hospital, Geneva|Newcastle-upon-Tyne Hospitals NHS Trust|Paediatric Intensive Care Glasgow|Paris South University Hospitals|University of Groningen|Great Ormond Street Hospital for Children NHS Foundation Trust|Hospital Sant Joan de Deu|Heim Pal Children's Hospital|University Hospital, Montpellier|Royal Brompton & Harefield NHS Foundation Trust|Lund University Hospital|Landesklinikum Sankt Polten|Chelyabinsk Regional Clinical Hospital|ECMO Centers Israel|Copenhagen University Hospital at Herlev|Ospedale Maurizio Bufalini|A.O.U. Città della Salute e della Scienza - Molinette Hospital|Mauriziano Umberto I Hospital|University of Bern|University Hospital, Basel, Switzerland|University of Lausanne Hospitals|University Hospital Tuebingen|Universitätsklinikum Köln|Chirec|Universitair Ziekenhuis Brussel|CHU de Liege|La Louvière Hopital|Leicester Royal Infirmary NHS Trust","Observational","Universitätskliniken Innsbruck, Innsbruck, Austria|Landesklinikum Sankt Polten, St.Pölten, Austria|Medical University of Vienna, Vienna, Austria|Onze Lieve Vrouwziekenhuis Aalst, Aalst, Belgium|University Hospital, Antwerp, Antwerp, Belgium|Centre Hospitalier Universitaire Saint Pierre, Brussels, Belgium|Chirec, Brussels, Belgium|Erasme University Hospital, Brussel, Belgium|Universitair Ziekenhuis Brussel, Brussel, Belgium|Hôpital Civil Marie Curie de Charleroi, Charleroi, Belgium|University Hospital, Ghent, Ghent, Belgium|La Louvière Hopital, La Louvière, Belgium|Universitaire Ziekenhuizen Leuven, Leuven, Belgium|CHU de Liege, Liège, Belgium|Charles University, Czech Republic, Praha, Czechia|General University Hospital, Prague, Praha, Czechia|Copenhagen University Hospital at Herlev, Copenhagen, Denmark|University Hospital, Bordeaux, Bourdeaux, France|Hospices Civils de Lyon, Lyon, France|University Hospital, Montpellier, Montpellier, France|Henri Mondor University Hospital, Paris, France|Paris South University Hospitals, Paris, France|Pitié-Salpêtrière Hospital, Paris, France|Rennes University Hospital, Rennes, France|University Hospital, Aachen, Aachen, Germany|German Heart Center, Berlin, Germany|Universitätsklinikum Düsseldorf, Düsseldorf, Germany|Children's Medical Hospital, University of Essen, Essen, Germany, Essen, Germany|University Hospital, Essen, Essen, Germany|University Heart Center Freiburg - Bad Krozingen, Freiburg, Germany|Hannover Medical School, Hannover, Germany|Klinikum Kassel, Kassel, Germany|Universitätsklinikum Köln, Köln, Germany|Heart Center Leipzig - University Hospital, Leipzig, Germany|Klinikum Nürnberg, Nürnberg, Germany|University Hospital Regensburg, Regensburg, Germany|University Hospital Tuebingen, Tuebingen, Germany|University Hospital, Alexandroupolis, Alexandroupolis, Greece|Heim Pal Children's Hospital, Budapest, Hungary|ECMO Centers Israel, Jerusalem, Israel|San Giorgio Clinic, Alessandria, Italy|Ospedali Riuniti Ancona, Ancona, Italy|Papa Giovanni XXIII Hospital, Bergamo, Italy|St. Orsola Hospital, Bologna, Italy|Azienda Ospedaliera Spedali Civili di Brescia, Brescia, Italy|Ospedale Maurizio Bufalini, Cesena, Italy|Gaslini Children's Hospital, Genua, Italy|G. Pasquinucci Heart Hospital, Massa, Massa, Italy|Policlinico Hospital Milan, Milano, Italy|Niguarda Hospital, Milan, Italy|Ospedale San Donato, Milan, Italy|San Raffaele University Hospital, Italy, Milan, Italy|San Gerardo Hospital, Monza, Italy|IRCCS Policlinico S. Matteo, Pavia, Italy|GVM Care & Research, Puglia, Italy|Bambino Gesù Hospital and Research Institute, Roma, Italy|San Camillo Hospital, Rome, Roma, Italy|A.O.U. Città della Salute e della Scienza - Molinette Hospital, Turin, Italy|Mauriziano Umberto I Hospital, Turin, Italy|Ospedale S. Giovanni Bosco, Turin, Italy|University Hospital, Udine, Italy, Udine, Italy|Ospedale dell'Angelo, Venezia-Mestre, Venice, Italy|Ospedale San Bortolo di Vicenza, Vicenza, Italy|Vilnius University Hospital Santaros Klinikos, Vilnius, Lithuania|University of Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Maastricht University Medical Center, Maastricht, Netherlands|Erasmus Medical Center, Rotterdam, Netherlands|UMC Utrecht, Utrecht, Netherlands|Medical University of Warsaw, Warsaw, Poland|Hospital Sao Joao, Porto, Portugal|Chelyabinsk Regional Clinical Hospital, Chelyabinsk, Russian Federation|City Hospital No 41, Ekaterinburg, Russia, Ekaterinburg, Russian Federation|Kemerovo Regional Clinical Cardiological Center named after academician L.S. Barbarash, Kemerovo, Russian Federation|Krasnodar Regional Hospital no 1, Krasnodar, Russian Federation|City Clinical Hospital No. 67, Moscow, Russia, Moscow, Russian Federation|Novosibirsk City Hospital #2, Novosibirsk, Russian Federation|City Hospital No 40, Saint Petersburg, Russia, Saint Petersburg, Russian Federation|Hospital Sant Joan de Deu, Barcelona, Spain|Hospital Vall d'Hebron, Barcelona, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital Miguel Servet, Zaragoza, Spain|Lund University Hospital, Lund, Sweden|Karolinska University Hospital, Stockholm, Sweden|University Hospital, Basel, Switzerland, Basel, Switzerland|University of Bern, Bern, Switzerland|University Hospital, Geneva, Geneva, Switzerland|University of Lausanne Hospitals, Lausanne, Switzerland|Cardiocentro Ticino, Lugano, Switzerland|Klinik Hirslanden, Zurich, Zürich, Switzerland|University of Zurich, Zürich, Switzerland|Royal Brompton & Harefield NHS Foundation Trust, Brompton, United Kingdom|Paediatric Intensive Care Glasgow, Glasgow, United Kingdom|Leicester Children's Hospital, Leicester, United Kingdom|Great Ormond Street Hospital for Children NHS Foundation Trust, London, United Kingdom|Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom|Newcastle-upon-Tyne Hospitals NHS Trust, Newcastle Upon Tyne, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04366921"
3971,"NCT04449276","A Study to Evaluate the Safety, Reactogenicity and Immunogenicity of Vaccine CVnCoV in Healthy Adults","Active, not recruiting","No Results Available","Severe Acute Respiratory Syndrome|Coronavirus|SARS-CoV-2|COVID-19","Biological: CVnCoV Vaccine|Drug: Placebo","CureVac AG|Coalition for Epidemic Preparedness Innovations","Interventional","Universitair Ziekenhuis Ghent, Ghent, Belgium|Ludwig-Maximilians-Universität München, München, Bavaria, Germany|Medical University Hannover (MHH), Hannover, Germany|University Hospital Tübingen Institut für Tropenmedizin, Tübingen, Germany",,"https://ClinicalTrials.gov/show/NCT04449276"
3972,"NCT04501432","Cardiac Rehabilitation and Ongoing Physical Activity During COVID-19","Completed","No Results Available","Cardiac Rehabilitation","Other: No intervention","Ludwig Boltzmann Institute for Digital Health and Prevention|Institute of Sports Medicine, Prevention and Rehabilitation, Salzburg, Austria","Observational","Institute of Sports Medicine, Prevention and Rehabilitation, Salzburg, Austria",,"https://ClinicalTrials.gov/show/NCT04501432"
3973,"NCT04615416","Emotion Regulation Training Via Telehealth During the COVID-19 Pandemic","Recruiting","No Results Available","Distress, Emotional|Emotional Dysfunction|Anxiety|Depression","Behavioral: Emotion Regulation Training via Telehealth","Teachers College, Columbia University|University of Michigan","Interventional","Teachers College, Columbia University, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04615416"
3974,"NCT04426318","COVID-19 and the Healthy Minds Program for Educators","Completed","No Results Available","Anxiety|Depression|Psychological Stress|Psychological Distress|Well-being","Behavioral: Healthy Minds Program Foundations Training","University of Wisconsin, Madison|Chan Zuckerberg Initiative|Healthy Minds Innovations|Center for Healthy Minds","Interventional","University of Wisconsin, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04426318"
3975,"NCT04379544","Prognostic Value of Point of Care Cardiac and Lung Ultrasound in COVID-19","Active, not recruiting","No Results Available","Coronavirus|Respiratory Failure","Other: Observation only","University of Pennsylvania","Observational","University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04379544"
3976,"NCT04358783","Convalescent Plasma Compared to the Best Available Therapy for the Treatment of SARS-CoV-2 Pneumonia","Active, not recruiting","No Results Available","Coronavirus Infection","Biological: Plasma|Other: Best Available Therapy","Hospital Universitario Dr. Jose E. Gonzalez","Interventional","Hospital Universitario José E. Gonzalez, Monterrey, Nuevo Leon, Mexico",,"https://ClinicalTrials.gov/show/NCT04358783"
3977,"NCT04460027","W-SUDs for COVID-19","Completed","No Results Available","Substance Use Disorders|Alcohol Use Disorder","Other: Woebot Substance Use Disorder","Athena Robinson|Stanford University|Woebot Labs, Inc.","Interventional","Stanford University, Palo Alto, California, United States",,"https://ClinicalTrials.gov/show/NCT04460027"
3978,"NCT04659746","MejoraCare-Paraguay: mHealth Solution for Chronic Patients During the COVID-19 Outbreak in Paraguay","Recruiting","No Results Available","Quality of Life|Stress|Emotional Adjustment","Device: MejoraCare","Universidad Autónoma de Encarnación|Salumedia Labs|University of Valencia","Interventional","Hospital Regional de Encarnación, Encarnación, Itapúa, Paraguay",,"https://ClinicalTrials.gov/show/NCT04659746"
3979,"NCT04390126","COVID-19 Related Lockdown Effects On Chronic Diseases","Active, not recruiting","No Results Available","Chronic Coronary Syndrome|Heart Failure|AMD and Macular Edema|Chronic Respiratory Failure|Hemophilia|Malignant Hemopathy|Multiple Sclerosis|Horton's Disease","Other: life questionnaires|Other: questionnaire","Centre Hospitalier Universitaire Dijon","Observational","CHU Dijon Bourgogne, Dijon, France",,"https://ClinicalTrials.gov/show/NCT04390126"
3980,"NCT04443361","Insomnia After the COVID-19 Pandemic","Not yet recruiting","No Results Available","Insomnia|Metacognitive Beliefs|Anxiety|Depression|Sleep",,"University of Oslo|Modum Bad Psychiatric Center","Observational",,,"https://ClinicalTrials.gov/show/NCT04443361"
3981,"NCT02735707","Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia","Recruiting","No Results Available","Community-acquired Pneumonia, Influenza, COVID-19","Drug: Fixed-duration Hydrocortisone|Drug: Shock-dependent hydrocortisone|Drug: Ceftriaxone|Drug: Moxifloxacin or Levofloxacin|Drug: Piperacillin-tazobactam|Drug: Ceftaroline|Drug: Amoxicillin-clavulanate|Drug: Macrolide administered for 3-5 days|Drug: Macrolide administered for up to 14 days|Drug: Five-days oseltamivir|Drug: Ten-days oseltamivir|Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine|Drug: Hydroxychloroquine + lopinavir/ritonavir|Drug: Interferon-β1a|Drug: Anakinra|Drug: Fixed-duration higher dose Hydrocortisone|Drug: Tocilizumab|Drug: Sarilumab|Drug: Vitamin C|Drug: Therapeutic anticoagulation|Drug: Simvastatin|Biological: Convalescent plasma|Other: Protocolised mechanical ventilation strategy|Drug: Eritoran|Drug: Apremilast|Drug: Aspirin|Drug: Clopidogrel|Drug: Prasugrel|Drug: Ticagrelor","MJM Bonten|Australian and New Zealand Intensive Care Research Centre|Medical Research Institute of New Zealand|Unity Health|Berry Consultants|Global Coalition for Adaptive Research|University of Pittsburgh Medical Center|UMC Utrecht","Interventional","University of Pittsburgh Medical Centre, Pittsburgh, Pennsylvania, United States|St Vincent's Hospital Sydney, Sydney, New South Wales, Australia|Royal Prince Alfred Hospital, Sydney, New South Wales, Australia|Royal North Shore Hospital, Sydney, New South Wales, Australia|Nepean Hospital, Sydney, New South Wales, Australia|Wollongong Hospital, Sydney, New South Wales, Australia|Royal Darwin Hospital,, Darwin, Northern Territory, Australia|Sunshine Coast University Hospital, Birtinya, Queensland, Australia|Princess Alexandra Hospital, Brisbane, Queensland, Australia|Logan Hospital, Brisbane, Queensland, Australia|Toowoomba Hospital, Toowoomba, Queensland, Australia|The Queen Elizabeth Hospital, Adelaide, South Australia, Australia|Bendigo Hospital, Bendigo, Victoria, Australia|University Hosptial Geelong, Geelong, Victoria, Australia|The Alfred Hospital, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|St Vincent's Hospital Melbourne, Melbourne, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia|St John of God Hospital Midland, Perth, Western Australia, Australia|Fiona Stanley Hospital, Perth, Western Australia, Australia|St John of God Hospital Murdoch, Perth, Western Australia, Australia|AZ Sint-Jan, Brugge, Belgium|CHU de Charleroi - Hôpital Civil Marie Curie, Charleroi, Belgium|Universitair Ziekenhuis Antwerp, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|St. Joseph's Healthcare Hamilton, Hamilton, Canada|Centre Hospitalier de l'Université de Sherbrooke, Sherbrooke, Canada|St. Michael's Hospital Unity Health Toronto, Toronto, Canada|General County Hospital Požega, Požega, Croatia|University Hospital Centre Zagreb, Zagreb, Croatia|University Hospital for Infectious Diseases, Zagreb, Croatia|Charité - Universitätsmedizin Berlin - Infektiologie und Pneumologie, Berlin, Germany|Charité - Universitätsmedizin Berlin - Nephrologie, Berlin, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Universitätsklinikum Köln, Cologne, Germany|Universitätsklinikum Frankfurt, Frankfurt, Germany|University Medical Center Hamburg-Eppendorf (UKE), Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitätsklinikum Jena, Jena, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitäts Klinikum Tübingen, Tübingen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Jósa András County Hospital, Nyíregyháza, Hungary|Csolnoky Ferenc Kórház - Veszprem County Hospital, Veszprém, Hungary|Almási Balogh Pál Kórház, Ózd, Hungary|Beaumont Hospital, Dublin, Ireland|St. Vincent's University Hospital, Dublin, Ireland|University Hospital Galway, Galway, Ireland|Meander Medisch Centrum, Amersfoort, Netherlands|Jeroen Bosch Ziekenhuis, Den Bosch, Netherlands|Martini Hospital Groningen, Groningen, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|North Shore Hospital, Auckland, New Zealand|CVICU, Auckland City Hospital, Auckland, New Zealand|DCCM, Auckland City Hospital, Auckland, New Zealand|Middlemore Hospital, Auckland, New Zealand|Christchurch Hospital, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand|Rotorua Hospital, Rotorua, New Zealand|Tauranga Hospital, Tauranga, New Zealand|Wellington Regional Hospital, Wellington, New Zealand|Whangarei Hospital, Whangarei, New Zealand|Centro Hospitalar do Medio Tejo, Abrantes, Portugal|Hospital Lusíadas Lisbon, Lisboa, Portugal|Clinical Hospital of Infectious and Tropical Diseases ""Dr. Victor Babes"", Bucharest, Romania|Institut Hospital del Mar d'Investigacions Mèdiques, Barcelona, Spain|Hospital Universitario Reina Sofia, Córdoba, Spain|Basingstoke and North Hampshire Hospital, Basingstoke, United Kingdom|Southmead Hospital, Bristol, United Kingdom|University Hospital Coventry, Coventry, United Kingdom|Darlington Memorial Hospital, Darlington, United Kingdom|University Hospital of North Durham, Durham, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Maidstone Hospital - Maidstone and Tunbridge Wells NHS Trust, Maidstone, United Kingdom|The James Cook University Hospital, Middlesbrough, United Kingdom|Milton Keynes University Hospital, Milton Keynes, United Kingdom|Northampton General Hospital, Northampton, United Kingdom|Queen's Medical Centre - Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|Poole Hospital NHS Foundation Trust, Poole, United Kingdom|Queen Alexandra Hospital - Portsmouth Hospitals NHS Trust, Portsmouth, United Kingdom|Royal Berkshire Hospital, Reading, United Kingdom|University Hospital of North Tees, Stockton-on-Tees, United Kingdom|Royal Cornwall Hospital, Truro, United Kingdom|Tunbridge Wells Hospital - Maidstone and Tunbridge Wells NHS Trust, Tunbridge Wells, United Kingdom|York Hospital, York, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02735707"
3982,"NCT04758039","Clinical Characteristics and In-hospital Death of a Chilean COVID-19 Prospective Cohort","Completed","No Results Available","Corona Virus Infection",,"University of Chile","Observational","Hospital Clinico de la Universidad de Chile, Santiago, Región Metropolitana, Chile",,"https://ClinicalTrials.gov/show/NCT04758039"
3983,"NCT04529421","Assocation Between In-person Instruction and COVID-19 Risk","Not yet recruiting","No Results Available","Infection|Infection Control","Behavioral: Online instruction|Behavioral: In-person instruction","Oslo Metropolitan University|Norwegian Institute of Public Health","Observational","Oslo Metropolitan University, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT04529421"
3984,"NCT04416919","Assessment of N-95 Facemask for Use in COVID-19 Pandemic in Case of Shortage of Personal Protective Equipment","Recruiting","No Results Available","Coronavirus Infection|Disease Prevention","Other: Assembled mask","University of Oklahoma|US Department of Veterans Affairs","Interventional","Oklahoma City VA Health Care System, Oklahoma City, Oklahoma, United States",,"https://ClinicalTrials.gov/show/NCT04416919"
3985,"NCT04385797","Cognitive Outcomes During COVID-19 confiNemeNt in Elderly and Their Caregivers Using Technologies for DEMentia","Active, not recruiting","No Results Available","Mild Cognitive Impairment|Dementia","Other: Telephone interview","Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud","Observational","Instituto de Investigacion Biomedica de Malaga-IBIMA, Málaga, Spain",,"https://ClinicalTrials.gov/show/NCT04385797"
3986,"NCT04712292","Effects of COVID-19 Pandemic on the Diagnosis and Outcomes of Colorectal Cancer (COVID-CRC)","Recruiting","No Results Available","Colorectal Neoplasms Malignant","Procedure: Surgical procedure for cancer","Matteo Rottoli|University of Bologna","Observational","Rho Memorial Hospital, Rho, Milan, Italy|Humanitas Research Center, Rozzano, Milan, Italy|Humanitas Gavazzeni Hospital, Bergamo, Italy|Policlinico San Marco, Bergamo, Italy|Maggiore Hospital, Bologna, Italy|Fondazione Poliambulanza, Brescia, Italy|Spedali Civili, Brescia, Italy|Spedali Civili, Brescia, Italy|Istituto Europeo di Oncologia, Milan, Italy|Sacco Hospital, Milan, Italy|San Raffaele Hospital, Milan, Italy|Istituto Nazionale dei Tumori, Milan, Italy|Policlinic of Milan, Milan, Italy|San Paolo Hospital, Milan, Italy|Istituto Oncologico Veneto, Padova, Italy|Padova University Hospital, Padova, Italy|San Matteo Hospital, Pavia, Italy|Città della salute, Turin, Italy|Mauriziano Hospital, Turin, Italy",,"https://ClinicalTrials.gov/show/NCT04712292"
3987,"NCT04706325","COVID-19 RELATED KIDNEY DAMAGE","Recruiting","No Results Available","Acute Kidney Injury","Other: ACUTE KIDNEY INJURY","Kocaeli Derince Education and Research Hospital","Observational","Akif Şahin, Kocaeli, Turkey",,"https://ClinicalTrials.gov/show/NCT04706325"
3988,"NCT04383730","Inhaled Sedation in COVID-19-related Acute Respiratory Distress Syndrome (ISCA): an International Research Data Study in the Recent Context of Widespread Disease Resulting From the 2019 (SARS-CoV2) Coronavirus Pandemics (COVID-19)","Recruiting","No Results Available","Critically Illness|Sedation|Invasive Mechanical Ventilation|Acute Respiratory Distress Syndrome","Drug: Intravenous sedation|Drug: Inhaled sedation","University Hospital, Clermont-Ferrand|Hospital Clínico Universitario de Valencia|University Hospital Schleswig-Holstein|Groupe Hospitalier Pitie-Salpetriere","Observational","Beth Israel Deaconess Medical Center, Inc., Boston, Massachusetts, United States|CHU, Brest, France|CHU, Clermont-Ferrand, France|Centre Hospitalier, Dunkerque, France|Pitié-Salpêtrière Hospital - APHP, Paris, France|CH Privé de la Loire, Saint-Étienne, France|Universitätsklinikum, Bochum, Germany|University Medical Center Schleswig-Holstein, Kiel, Germany|Universitätsklinikum, Oldenburg, Germany|Hospital Clínico Universitario de Valencia, Valencia, Spain|Cantonal Hospital, Münsterlingen, Switzerland|Universitätsspital, Zürich, Switzerland",,"https://ClinicalTrials.gov/show/NCT04383730"
3989,"NCT04388605","Assessing the Safety of Pregnancy In the CoRonavirus (COVID-19) pandEmic","Recruiting","No Results Available","Corona Virus Infection|COVID|Pregnancy Related|Early Pregnancy",,"University of California, San Francisco","Observational","University of California, San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04388605"
3990,"NCT04672590","COVID-19 Neurological Disease: A Prospective Study","Not yet recruiting","No Results Available","Diseases of the Nervous System|Other Specified Viral Diseases","Other: Primary exposure is hypoxia (no intervention)","University of Liverpool|Christian Medical College, Vellore, India|Instituto Autoimune, Brazil|University College London Hospitals|Oswaldo Cruz Foundation|University of Malawi College of Medicine|National Institute of Mental Health and Neuro Sciences, India|Encephalitis Society, UK","Observational",,,"https://ClinicalTrials.gov/show/NCT04672590"
3991,"NCT04542915","COVID-19-Related Health and Practices Among Dental Hygienists","Active, not recruiting","No Results Available","SARS-CoV Infection|Anxiety|Depression|Occupational Problems|Severe Acute Respiratory Syndrome|Coronavirus Infection","Other: No intervention","American Dental Association|American Dental Hygienists Association","Observational","American Dental Association, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04542915"
3992,"NCT04475081","Use of a Live Attenuated Vaccine as an Immune-based Preventive Against COVID-19-associated Sepsis","Not yet recruiting","No Results Available","Sepsis Syndrome","Biological: MMR vaccine","Louisiana State University Health Sciences Center in New Orleans|Parsemus Foundation","Interventional",,,"https://ClinicalTrials.gov/show/NCT04475081"
3993,"NCT04544072","Analysis of the Quality and Quantity of Antibiotic Prescriptions for Bacterial Respiratory Tract Superinfection in Patients Hospitalized in COVID-19 Wards","Recruiting","No Results Available","SARS-CoV Infection|Antimicrobial Stewardship|Respiratory Tract Infections|Antibiotic Resistance",,"Universitair Ziekenhuis Brussel","Observational","UZ Brussel, Brussel, Belgium",,"https://ClinicalTrials.gov/show/NCT04544072"
3994,"NCT04321174","COVID-19 Ring-based Prevention Trial With Lopinavir/Ritonavir","Recruiting","No Results Available","Coronavirus Infections|Post-exposure Prophylaxis","Drug: Lopinavir/ritonavir","Darrell Tan|Unity Health Toronto","Interventional","St. Paul's Hospital, Vancouver, British Columbia, Canada|Sunnybrook Hospital, Toronto, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04321174"
3995,"NCT04486404","Needs, Perceptions and Acute Stress of Healtcare Workers Caring for COVID-19 Patients in South America","Enrolling by invitation","No Results Available","Acute Stress Disorder","Other: Online survey","Universidad Miguel Hernandez de Elche|Universidad Catolica Santiago de Guayaquil|Universidad de Santander|University of Sao Paulo|Pontificia Universidad Catolica de Chile","Observational","Institute for Clinical Effectiveness and Health Policy, Buenos Aires, Argentina|Pontificia Universidad Católica de Chile, Santiago, Chile|Universidad de Santander, Bucaramanga, Santander, Colombia|Universidad Católica de Santiago de Guayaquil, Guayaquil, Guayas, Ecuador|Universidad Miguel Hernández de Elche, Elche, Alicante, Spain",,"https://ClinicalTrials.gov/show/NCT04486404"
3996,"NCT04369690","The Psychological, Social, and Economic Impacts of COVID-19","Recruiting","No Results Available","COVID-19|Chronic Disease|Psychiatric Disorder|Cardiovascular Diseases",,"University of Ottawa|Hopital du Sacre-Coeur de Montreal|Sunnybrook Health Sciences Centre|Southlake Regional Health Centre|The Ottawa Hospital Research Institute|Centre Integre Universitaire de Sante et Services Sociaux du Nord de l'ile de Montreal|Centre for Addiction and Mental Health|CHEO Research Institute|Ottawa Heart Institute Research Corporation|McGill University|Johns Hopkins University|Université de Montréal|The Royal's Institute of Mental Health Research","Observational","Southlake Regional Health Centre, Newmarket, Ontario, Canada|CHEO Research Institute, Ottawa, Ontario, Canada|The Ottawa Hospital Research Institute, Ottawa, Ontario, Canada|The Centre for Addiction and Mental Health, Ottawa, Ontario, Canada|The University of Ottawa Heart Institute, Ottawa, Ontario, Canada|The Royal's Institute of Mental Health Research, Ottawa, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|Hôpital en santé mentale Rivière-des-Prairies (CIUSSS du Nord-de-l'Île-de-Montréal), Montréal, Quebec, Canada|McGill University, Montréal, Quebec, Canada|University of Montréal, Montréal, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT04369690"
